CID	logP	PSA	DC	AlRC	ArRC	BI
71158	-1.11	79.82	2	0	0	3.15
1978	1.68	63.6	3	0	1	2.42
17676	2.04	103.37	1	2	2	1.24
82148	2.76	26.3	1	0	2	1.74
2082	2.45	92.31	2	1	1	1.67
2083	1.44	60.69	4	0	1	2.25
19371515	0.75	48.48	0	3	1	1.53
71764	0.86	84.13	2	2	1	1.32
2170	2.31	35.18	1	2	2	1.57
54841	3.95	9.23	1	0	2	1.69
5311010	-2.86	264.35	11	2	1	1.88
16363	2.75	66.8	1	2	2	1.12
6834	3.41	26.48	0	1	1	1.72
1548943	4.58	46.53	2	0	1	2.02
2554	2.3	20.31	1	1	2	1.85
2564	2.62	35.71	0	1	1	1.88
5970	-2.34	57.53	2	0	0	3.61
2585	3.37	63.71	3	0	4	1.01
2719	4.01	26.48	1	1	1	1.57
6918155	4.29	99.13	1	6	0	1.26
2905	2.39	60.12	1	1	1	1.9
5284373	4.57	303.13	5	1	0	4.22
444031	4.54	39.89	1	2	3	1.24
6540293	1.57	158.08	5	1	0	2.83
449343	-3.04	110.02	5	0	0	3.69
6102719	-2.92	262.6	6	2	2	1.16
10712038	-0.42	88.67	2	3	0	1.84
11957399	-4.05	138.78	5	0	0	4.18
440102	-3.33	146.49	5	1	0	2.55
5314	-2.91	52.6	0	0	0	3.6
16741199	-3.45	237.18	6	6	0	0.95
12004117	2.44	184.9	2	2	2	1.35
16058624	5.72	81.71	1	1	2	1.32
1274111	-4.63	123.64	0	4	0	1.42
6030	-4.15	175.67	5	2	0	1.87
23586181	-3.4	128.2	5	2	0	2.04
11241999	-5.19	136.04	5	2	0	2.19
11402658	-3.21	136.04	5	2	0	2
9911502	-0.53	141.31	1	2	1	1.37
165388	-6	181.38	6	2	0	1.81
1023	-3.48	143.91	4	0	0	3.75
766948	3.03	81.13	1	1	2	1.39
11618519	2.88	60.69	3	3	0	1.54
148192	4.55	145.48	5	1	2	1.79
11567832	2.88	60.69	3	3	0	1.54
11648721	-0.05	127.53	0	3	2	1.24
16750059	2.4	81.89	1	2	2	1.2
439418	-3.31	190.44	5	0	0	4.1
14003	-7.86	338.88	8	3	0	1.51
10389037	3.68	45.35	2	1	1	2.19
9981969	3.93	60.37	2	1	1	2.19
5149739	4.03	28.68	1	1	1	1.87
5288612	-3.74	139.84	7	2	0	1.96
16129581	-4.37	118.18	3	2	1	1.4
5481249	5.54	161.34	8	0	4	1.35
11757843	6.73	95.95	1	0	5	1.27
15747592	-4.42	257.2	7	1	0	3.23
17754240	-2.64	116.67	4	0	0	3.94
44629510	-4.12	199.52	6	2	0	1.85
17759043	5.97	112.07	3	1	2	1.57
44629531	3	146.36	3	1	4	1.36
44629532	5.52	112.22	1	1	4	1.34
44629536	-4.09	209.76	10	3	0	1.59
44629540	-8.78	388.29	17	5	0	1.12
44629548	-2.39	127.45	5	1	0	2.5
44629551	-6.59	369.58	13	3	0	1.97
12083343	5.7	108.59	2	1	4	1.04
31257	-1.79	100.05	2	0	0	3.39
5894	0.35	87.74	3	2	1	1.56
16058668	2.47	72.83	3	2	1	1.71
24794394	5.17	126.52	5	1	3	1.45
