logP	PSA	DC	AlRC	ArRC	BI
3.64	37.3	1	0	1	2.14
2.75	13.59	1	1	2	1.57
1.82	270.41	15	0	5	1.28
1.14	94.83	3	4	0	1.71
1.95	12.36	1	2	1	1.59
3.32	35.53	0	0	1	2.39
1.66	193.26	4	3	0	2.13
3.62	59.29	1	1	2	1.68
4.15	46.53	1	4	0	1.64
1.75	48.48	1	3	1	1.32
7.91	53.03	0	0	3	1.54
1.15	25.95	2	1	0	2.08
1.32	53.47	2	1	1	1.85
1.76	26	1	0	1	2.13
-0.77	24.1	2	1	0	2
1.96	57.53	2	4	0	1.63
3.59	60.69	4	0	2	1.38
-0.01	127.3	3	3	1	1.17
-3.31	139.84	7	2	0	1.91
0.83	139.72	12	0	1	3.1
2.81	93.77	2	3	3	0.88
4.63	133.24	5	1	3	1.46
-1.63	177.02	7	0	0	5.42
0.9	169.15	11	0	1	3.24
-2.26	361.86	17	0	2	2.45
-2.57	96.92	5	2	0	1.98
-4.28	86.71	3	2	0	2.04
2.33	173.25	8	2	1	1.76
-2.3	188.92	4	2	0	1.74
3.02	174.82	4	2	2	1.27
5.13	119.99	5	0	4	1.63
3.04	161.7	6	2	2	1.46
-3.74	139.84	7	2	0	1.96
1.91	83.83	2	5	0	1.47
4.33	227.91	11	1	3	1.48
2.49	153.3	6	1	1	2.13
-4.3	174.56	6	0	0	4.04
5.19	156.38	6	3	2	1.2
-1.39	200.19	7	2	1	1.64
4.01	161.7	6	2	2	1.49
-0.65	96.74	6	0	0	4.72
1.32	125.26	3	3	1	1.44
5.72	81.71	1	1	2	1.32
1.34	117.52	3	1	3	1.27
-5.54	290.8	8	3	0	1.48
-0.53	141.31	1	2	1	1.37
-0.29	71.44	6	0	0	4.84
1.89	137.35	3	1	2	1.9
2.73	114.81	6	0	2	2.22
3.21	88.52	3	2	3	1.02
-2.86	174.58	6	0	1	2.51
-4.26	239.04	11	1	1	2.24
1.28	137.01	4	0	2	1.7
2.63	159.24	5	1	1	2.09
-0.86	241.33	14	1	2	1.76
3.79	99.76	4	1	3	1.31
-2.92	262.6	6	2	2	1.16
2.26	66.42	3	3	2	1.17
-0.61	107.33	5	2	1	1.55
-3.54	162.11	5	3	0	1.55
-1.95	98.74	5	2	1	1.57
2.24	114.81	7	0	3	1.69
-4.78	186.35	5	2	0	1.81
-2.2	83.12	2	0	0	3.2
5.78	77.76	3	4	0	1.46
4.96	96.89	3	0	3	1.63
3.22	80.67	5	0	1	2.8
-0.02	71.44	6	0	0	4.72
5.07	109.35	4	1	3	1.42
-1.53	154.27	6	1	2	1.6
3.1	77.85	1	2	2	1.41
-1.88	90.23	4	2	0	1.79
3.09	151.76	1	0	0	4.54
4.97	122.65	7	0	4	1.32
-2.45	155.13	4	0	1	2.76
3.79	70.26	1	5	2	0.93
-3.04	110.02	5	0	0	3.69
2.76	163.11	8	0	0	5.54
0.29	71.44	6	0	1	2.6
5.37	53.09	2	0	4	1.46
-0.29	318	6	6	0	1.01
6.76	54.37	1	1	2	1.44
2.98	135.04	7	0	3	1.69
7.02	37.3	1	0	0	2.92
2.25	109.42	3	0	2	1.7
-2.04	71.44	6	0	0	4.02
-1.85	248.14	10	1	1	2.26
2.32	150.92	5	1	1	2.39
-2.91	52.6	0	0	0	3.6
1.64	44.1	2	1	1	1.48
-0.31	165.95	6	3	1	1.78
-2.13	107.22	5	1	0	2.48
0.35	87.74	3	2	1	1.56
-6.98	302.51	8	3	0	1.49
-3.12	88.51	7	0	0	4.78
7.02	37.3	1	0	0	2.92
-3.55	155.44	4	2	0	1.97
-8.99	364.83	9	6	0	0.93
-3.85	146.49	6	1	0	2.54
1.13	84.78	3	3	2	1.21
-8.45	388.29	17	5	0	1.1
-4.77	211.78	5	2	0	1.78
5.12	123.04	5	0	1	2.75
-0.3	87.23	7	0	2	1.97
